174.285513990747,-35.7359580123368,SH14,Shouldbe: Maunu,32
174.285102339716,-35.7368691507095,SH14,Shouldbe: Maunu,98
174.280545909566,-35.7412420409165,SH14,Shouldbe: Maunu,696
174.2811342,-35.7406756,SH14,Shouldbe: Maunu,617
174.2818033,-35.7400364,SH14,Shouldbe: Maunu,528
173.989555980314,-35.4011269612557,Pokapu Rd,Shouldbe: Moerewa,2907
174.007153947279,-35.3894508911993,SH1,Shouldbe: Moerewa,1402
174.317397122431,-35.7301248084014,Porowini Ave,Shouldbe: Morningside,125
174.3159168,-35.7290051,Porowini Ave,Shouldbe: Morningside,0
174.3165977,-35.729516,Porowini Ave,Shouldbe: Morningside,76
174.321040217979,-35.7318211885948,Porowini Ave,"Shouldbe: Morningside, Whangarei",389
174.287242167059,-35.6747267458136,Pipiwai Rd,Shouldbe: Ngararatunua,122
174.283174069036,-35.67556973507,Pipiwai Rd,Shouldbe: Ngararatunua,0
174.285444061323,-35.674472447045,Pipiwai Rd,Shouldbe: Ngararatunua,145
173.063001371388,-34.7543880846315,SH1,Shouldbe: Ngataki,0
173.050501338829,-34.7470904597288,SH1,Shouldbe: Ngataki,1041
173.046459583389,-34.7411656425549,SH1,Shouldbe: Ngataki,1467
173.8468189,-35.6242155,SH15,Shouldbe: Nukutawhiti,2676
173.846693308268,-35.6237683308268,Road,Shouldbe: Nukutawhiti,2721
174.334296689417,-35.4133097879966,Russell Rd,Shouldbe: Oakura,15
173.878180686771,-35.3535659115657,Remuera Settlement Rd,Shouldbe: Ohaeawai,285
174.133852845411,-35.3014514637671,Aucks Rd,Shouldbe: Okiato,394
174.126445182393,-35.3036498188496,Aucks Rd,Shouldbe: Okiato,937
174.1239715,-35.3036624,Aucks Rd,Shouldbe: Okiato,1044
174.122133163793,-35.3039018229885,Aucks Rd,Shouldbe: Okiato,1160
174.121559614862,-35.3043119111067,Aucks Rd,Shouldbe: Okiato,1227
174.120119026625,-35.3052857794711,Aucks Rd,Shouldbe: Okiato,1378
173.687051873918,-35.8218171064414,Omamari Rd,Shouldbe: Omamari,1115
173.388006372913,-35.5181617488983,SH12,Shouldbe: Omapere,110
173.388633345446,-35.5217747103201,SH12,Shouldbe: Omapere,410
173.3897997,-35.527398,SH12,Shouldbe: Omapere,989
173.38977,-35.5301736313001,SH12,Shouldbe: Omapere,1292
173.389897032996,-35.5305610989893,SH12,Shouldbe: Omapere,1327
173.388348747355,-35.5174775158721,SH12,Shouldbe: Omapere,43
173.387581102159,-35.5350883467613,SH12,Shouldbe: Omapere,1865
174.307741346683,-35.7804057688778,SH1,Shouldbe: Otaika,1432
174.307313115542,-35.7812057161301,SH1,Shouldbe: Otaika,1578
174.307874399328,-35.7809032831525,SH1,Shouldbe: Otaika,1603
174.309407752991,-35.778540994873,SH1,Shouldbe: Otaika,1432
174.310619845467,-35.7620445307841,SH1,Shouldbe: Otaika,0
174.322179,-35.6991679,Cairnfield Rd,Shouldbe: Otangarei,0
174.3159168,-35.6912539,Te Hononga St,Shouldbe: Otangarei,199
174.3221649,-35.6991653,Cairnfield Rd,Shouldbe: Otangarei,0
174.311773388536,-35.6907482675413,SH1,"Shouldbe: Otangarei, Whau Valley",42
173.549394428574,-35.0111778351689,Kohumaru Rd,Shouldbe: Paewhenua Island,0
174.080299117502,-35.2812229119143,SH11,Shouldbe: Paihia,733
174.072956686679,-35.2855311044405,SH11,Shouldbe: Paihia,156
174.101407452561,-35.3073494021322,SH11,Shouldbe: Paihia,24
174.082322471827,-35.2781498743766,SH11,Shouldbe: Paihia,1423
174.0812965,-35.2799744,SH11,Shouldbe: Paihia,1384
174.0809489,-35.2804112,SH11,Shouldbe: Paihia,1372
174.0808352,-35.2805363,SH11,Shouldbe: Paihia,1322
173.905506970629,-35.3429868095699,Old Bay Rd,"Shouldbe: Ohaeawai, Oromahoe, Pakaraka",0
174.769734350893,-36.282621591409,Rodney Rd,"Shouldbe: Pakiri, Whangateau",12
173.893919917567,-35.6843976547575,SH15,Shouldbe: Pakotai,1665
173.899650714649,-35.688446180393,SH15,Shouldbe: Pakotai,1243
173.892764,-35.6817453,SH15,Shouldbe: Pakotai,1971
173.892071242725,-35.6800546894549,SH15,"Shouldbe: Nukutawhiti, Pakotai",2141
173.403997411958,-35.3310880111079,Humphreys Rd,Shouldbe: Panguru,1035
174.27939930199,-36.0403852466129,Paparoa-Oakleigh Rd,"Shouldbe: Mareretu, Paparoa",364
173.782948960965,-35.9453391613911,Baylys Coast Rd,Shouldbe: Parore,0
174.418588495119,-35.7265136243608,Mt Tiger Rd,Shouldbe: Parua Bay,231
174.518713883992,-35.7151363109053,Pataua Footbridge,Shouldbe: Pataua North,0
174.522009463525,-35.7447011481644,Pataua South Rd,Shouldbe: Pataua South,2059
174.505797641157,-35.7574646644892,Pataua South Rd,Shouldbe: Pataua South,82
174.522722224268,-35.728665636304,Arahiwi Rise,Shouldbe: Pataua South,1329
174.522083986521,-35.7448891314932,Beasley Rd,Shouldbe: Pataua South,2818
174.511008860191,-35.7516525467542,Pataua South Rd,Shouldbe: Pataua South,875
174.527920093048,-35.7284421045473,Pataua South Rd,Shouldbe: Pataua South,1776
174.510892267209,-35.7516064825172,Addison Rd,Shouldbe: Pataua South,2913
173.497710938007,-35.0474000623176,Garton Rd,Shouldbe: Peria,77
174.1429365,-35.7397685,SH15,Shouldbe: Poroti,686
174.1425683,-35.7396099,SH15,Shouldbe: Poroti,719
174.120398174461,-35.7157113583164,Kokopu Rd,Shouldbe: Poroti,1195
174.124933867327,-35.7346256832123,SH15,Shouldbe: Poroti,2345
174.128624327748,-35.7382306771241,SH15,Shouldbe: Poroti,1987
174.13548015305,-35.7376196788646,SH15,Shouldbe: Poroti,1378
174.1374409,-35.7376893,SH15,Shouldbe: Poroti,1205
174.140391376946,-35.7385966425747,SH15,Shouldbe: Poroti,927
174.1501361,-35.743035,SH15,Shouldbe: Poroti,0
174.1467416,-35.7415322,SH15,Shouldbe: Poroti,317
174.128094949441,-35.7070426769558,Kokopu Rd,Shouldbe: Poroti,400
174.144905120318,-35.7066651109287,Kokopu Rd,"Shouldbe: Kokopu, Poroti",174
174.3273822,-35.74425,Kioreroa Rd,Shouldbe: Port Whangarei,610
174.33370610394,-35.7399974200337,Kioreroa Rd,Shouldbe: Port Whangarei,670
174.326509099093,-35.7442341724067,Kioreroa Rd,Shouldbe: Port Whangarei,0
174.3348886,-35.7388213,Kioreroa Rd,Shouldbe: Port Whangarei,1414
174.314480684872,-35.7936486722684,Portland Rd,Shouldbe: Portland,601
174.037982588812,-36.2196083060178,Pouto Rd,Shouldbe: Pouto,553
174.034433014713,-35.8732987755947,Pukehuia Rd,Shouldbe: Pukehuia,0
173.144368596254,-34.8550423015357,Motutangi Rd,Shouldbe: Pukenui,1251
173.106857025439,-34.8190335460064,Korakanui A Rua Rd,Shouldbe: Pukenui,0
173.107980257967,-34.7972900808388,SH1,Shouldbe: Pukenui,0
173.115418947673,-34.8081638055814,SH1,Shouldbe: Pukenui,115
173.116240879127,-34.8109436508116,SH1,Shouldbe: Pukenui,726
173.117251570129,-34.8129752561029,SH1,Shouldbe: Pukenui,799
173.117829060529,-34.8140174737166,SH1,Shouldbe: Pukenui,896
173.793348288063,-35.2114430132633,Puketi Recreation Area Access Rd,Shouldbe: Puketi Forest,2841
174.11576461012,-35.6047443564621,Riponui Rd,Shouldbe: Purua,1025
174.116940676675,-35.5942803068924,Riponui Rd,Shouldbe: Purua,547
173.435533627906,-35.1685640063423,SH1,Shouldbe: Raetea Forest,0
174.31082290924,-35.7609073295687,Otaika Reserve Access Rd,Shouldbe: Raumanga,0
173.544547234425,-35.4596185196729,Duddy Rd,Shouldbe: Rawene,23
174.3209145,-35.7205566,Bank St,Shouldbe: Regent,0
174.327416950583,-35.7093949404032,Hatea Dr,Shouldbe: Regent,26
174.327212,-35.709509,Hatea Dr,Shouldbe: Regent,15
174.321197,-35.7151815,Manse St,Shouldbe: Regent,290
174.3209919,-35.71518,Manse St,Shouldbe: Regent,275
174.3202673,-35.7151404,Manse St,Shouldbe: Regent,214
174.318901760194,-35.715017350121,Manse St,Shouldbe: Regent,111
174.3182069,-35.7140794,Manse St,Shouldbe: Regent,0
174.3226622,-35.7159834,Bank St,Shouldbe: Regent,520
174.322363,-35.716782,Bank St,Shouldbe: Regent,427
174.3221521,-35.7173444,Bank St,Shouldbe: Regent,362
174.3213679,-35.7192112,Bank St,Shouldbe: Regent,142
174.3208803,-35.7206096,Bank St,Shouldbe: Regent,0
174.460139432879,-35.838838178988,Kentia Crt,Shouldbe: Ruakaka,96
174.2104251,-35.6703749,Thorburn Rd,Shouldbe: Ruatangata West,0
174.1500163,-35.6752664,Buchanan Rd,Shouldbe: Ruatangata West,82
174.200864960606,-35.6331027783884,Matarau Rd,Shouldbe: Ruatangata West,1507
174.20769556171,-35.6389302365095,Matarau Rd,Shouldbe: Ruatangata West,647
174.216785176459,-35.6384773568612,Matarau Rd,Shouldbe: Ruatangata West,9
174.15926889465,-35.6558530093841,Pipiwai Rd,Shouldbe: Ruatangata West,719
174.222716092352,-35.680801797734,Three Mile Bush Rd,Shouldbe: Ruatangata West,526
174.216881774123,-35.6755867766928,Three Mile Bush Rd,"Shouldbe: Matarau, Ruatangata West",1056
173.999490748314,-36.0427634148603,Inch Rd,Shouldbe: Ruawai,0
174.729033819975,-36.3899912989457,Sandspit Rd,Shouldbe: Sandspit,1239
173.470200592843,-34.99772,SH10,Shouldbe: Taipa,44
173.4666242,-34.9962366,SH10,Shouldbe: Taipa,397
173.466035984181,-34.9958922912994,SH10,Shouldbe: Taipa,459
173.4645166,-34.9953041,SH10,Shouldbe: Taipa,608
174.304088357419,-36.0283171300643,Golden Stairs Rd,Shouldbe: Taipuha,2365
174.273632502654,-35.9585796836517,Harrison Rd,Shouldbe: Taipuha,490
